request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_48,22152.51,affordable_later,wait,2026-10-14:45700,2026-10-14,none,wait selected. Selected wait because it is the only verified valid plan. Safe to pay now: 22152.51 INR; required buffer: 71300 INR; minimum projected balance before purchase: 93452.51 INR; uncertainty records tracked: 0.
request_49,0,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 0 IDR; required buffer: 20275700 IDR; minimum projected balance before purchase: 19442149.17 IDR; uncertainty records tracked: 0.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,full_payment selected. Selected full_payment because it is the only verified valid plan. Safe to pay now: 43900 INR; required buffer: 99700 INR; minimum projected balance before purchase: 201779.3 INR; uncertainty records tracked: 0.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,full_payment selected. Selected full_payment because it is the only verified valid plan. Safe to pay now: 2191000 IDR; required buffer: 7811000 IDR; minimum projected balance before purchase: 29485587.3 IDR; uncertainty records tracked: 0.
request_52,23176.01,affordable_later,wait,2024-06-15:28870,2024-06-15,none,wait selected. Selected wait because it is the only verified valid plan. Safe to pay now: 23176.01 INR; required buffer: 41500 INR; minimum projected balance before purchase: 64676.01 INR; uncertainty records tracked: 0.
request_53,408.87,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 408.87 USD; required buffer: 2100 USD; minimum projected balance before purchase: 2508.87 USD; uncertainty records tracked: 1.
request_54,3330.9,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 3330.9 ZAR; required buffer: 37000 ZAR; minimum projected balance before purchase: 40330.9 ZAR; uncertainty records tracked: 0.
request_55,129816.56,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 129816.56 INR; required buffer: 124300 INR; minimum projected balance before purchase: 254116.56 INR; uncertainty records tracked: 0.
request_56,395.4,affordable_with_plan,partial_payment,2025-02-03:395.4|2025-02-15:486.16,2025-02-15,none,partial_payment selected. Selected partial_payment over installments by deadline completion: 0 ranked ahead of 1. Safe to pay now: 395.4 USD; required buffer: 2100 USD; minimum projected balance before purchase: 2495.4 USD; uncertainty records tracked: 0.
request_57,6738.39,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 6738.39 ZAR; required buffer: 42700 ZAR; minimum projected balance before purchase: 49438.39 ZAR; uncertainty records tracked: 0.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,full_payment selected. Selected full_payment because it is the only verified valid plan. Safe to pay now: 16226000 IDR; required buffer: 14433900 IDR; minimum projected balance before purchase: 37415569.52 IDR; uncertainty records tracked: 0.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,installments selected. Selected installments because it is the only verified valid plan. Safe to pay now: 140600 INR; required buffer: 132600 INR; minimum projected balance before purchase: 638612.77 INR; uncertainty records tracked: 0.
request_60,0,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 0 USD; required buffer: 400 USD; minimum projected balance before purchase: -249 USD; uncertainty records tracked: 0.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,installments selected. Selected installments because it is the only verified valid plan. Safe to pay now: 29062 ZAR; required buffer: 36700 ZAR; minimum projected balance before purchase: 129818.53 ZAR; uncertainty records tracked: 0.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,full_payment selected. Selected full_payment because it is the only verified valid plan. Safe to pay now: 404.23 USD; required buffer: 1300 USD; minimum projected balance before purchase: 4862.32 USD; uncertainty records tracked: 0.
request_63,37208.06,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 37208.06 INR; required buffer: 153500 INR; minimum projected balance before purchase: 190708.06 INR; uncertainty records tracked: 0.
request_64,0,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 0 INR; required buffer: 36100 INR; minimum projected balance before purchase: -11710.23 INR; uncertainty records tracked: 0.
request_65,7543.14,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 7543.14 ZAR; required buffer: 15500 ZAR; minimum projected balance before purchase: 23043.14 ZAR; uncertainty records tracked: 0.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,full_payment selected. Selected full_payment because it is the only verified valid plan. Safe to pay now: 22200 INR; required buffer: 80700 INR; minimum projected balance before purchase: 292316.26 INR; uncertainty records tracked: 0.
request_67,338.65,affordable_later,wait,2024-09-15:2094,2024-09-15,none,wait selected. Selected wait because it is the only verified valid plan. Safe to pay now: 338.65 USD; required buffer: 1200 USD; minimum projected balance before purchase: 1538.65 USD; uncertainty records tracked: 0.
request_68,977.43,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 977.43 USD; required buffer: 1500 USD; minimum projected balance before purchase: 2477.43 USD; uncertainty records tracked: 0.
request_69,307.68,affordable_later,wait,2026-03-16:529.1,2026-03-16,none,wait selected. Selected wait because it is the only verified valid plan. Safe to pay now: 307.68 EUR; required buffer: 700 EUR; minimum projected balance before purchase: 1007.68 EUR; uncertainty records tracked: 0.
request_70,42586.72,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 42586.72 INR; required buffer: 115000 INR; minimum projected balance before purchase: 157586.72 INR; uncertainty records tracked: 0.
request_71,0,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 0 IDR; required buffer: 8884800 IDR; minimum projected balance before purchase: 5515566.62 IDR; uncertainty records tracked: 0.
request_72,5651.57,affordable_later,wait,2026-09-14:11330,2026-09-14,none,wait selected. Selected wait because it is the only verified valid plan. Safe to pay now: 5651.57 ZAR; required buffer: 12200 ZAR; minimum projected balance before purchase: 17851.57 ZAR; uncertainty records tracked: 0.
request_73,47347.32,affordable_later,wait,2023-04-16:71400,2023-04-16,none,wait selected. Selected wait because it is the only verified valid plan. Safe to pay now: 47347.32 INR; required buffer: 103200 INR; minimum projected balance before purchase: 150547.32 INR; uncertainty records tracked: 0.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,full_payment selected. Selected full_payment because it is the only verified valid plan. Safe to pay now: 5010 ZAR; required buffer: 21900 ZAR; minimum projected balance before purchase: 67876.64 ZAR; uncertainty records tracked: 0.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,installments selected. Selected installments because it is the only verified valid plan. Safe to pay now: 28270 ZAR; required buffer: 39000 ZAR; minimum projected balance before purchase: 137678.74 ZAR; uncertainty records tracked: 0.
request_76,900.43,not_affordable,not_recommended,none,2024-07-15,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 900.43 USD; required buffer: 1800 USD; minimum projected balance before purchase: 2700.43 USD; uncertainty records tracked: 0.
request_77,60347.08,affordable_later,wait,2025-11-15:60700,2025-11-15,none,wait selected. Selected wait because it is the only verified valid plan. Safe to pay now: 60347.08 INR; required buffer: 82200 INR; minimum projected balance before purchase: 142547.08 INR; uncertainty records tracked: 1.
request_78,24477.61,affordable_later,wait,2025-12-15:50200,2025-12-15,none,wait selected. Selected wait because it is the only verified valid plan. Safe to pay now: 24477.61 INR; required buffer: 55200 INR; minimum projected balance before purchase: 79677.61 INR; uncertainty records tracked: 0.
request_79,642.52,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 642.52 EUR; required buffer: 1000 EUR; minimum projected balance before purchase: 1642.52 EUR; uncertainty records tracked: 0.
request_80,117898.78,not_affordable,not_recommended,none,2025-03-17,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 117898.78 INR; required buffer: 121300 INR; minimum projected balance before purchase: 239198.78 INR; uncertainty records tracked: 0.
request_81,1400.57,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 1400.57 USD; required buffer: 1600 USD; minimum projected balance before purchase: 3000.57 USD; uncertainty records tracked: 0.
request_82,43.81,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 43.81 USD; required buffer: 1100 USD; minimum projected balance before purchase: 1143.81 USD; uncertainty records tracked: 0.
request_83,2734.02,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 2734.02 INR; required buffer: 37800 INR; minimum projected balance before purchase: 40534.02 INR; uncertainty records tracked: 0.
request_84,5669.1,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 5669.1 INR; required buffer: 91300 INR; minimum projected balance before purchase: 96969.1 INR; uncertainty records tracked: 0.
request_85,0,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 0 IDR; required buffer: 6396300 IDR; minimum projected balance before purchase: 5999501.59 IDR; uncertainty records tracked: 0.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,full_payment selected. Selected full_payment because it is the only verified valid plan. Safe to pay now: 46300 INR; required buffer: 84900 INR; minimum projected balance before purchase: 154306.6 INR; uncertainty records tracked: 0.
request_87,0,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 0 INR; required buffer: 185900 INR; minimum projected balance before purchase: 181267.91 INR; uncertainty records tracked: 0.
request_88,9731.73,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,installments selected. Selected installments because it is the only verified valid plan. Safe to pay now: 9731.73 ZAR; required buffer: 25800 ZAR; minimum projected balance before purchase: 35531.73 ZAR; uncertainty records tracked: 0.
request_89,8885207.86,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,installments selected. Selected installments because it is the only verified valid plan. Safe to pay now: 8885207.86 IDR; required buffer: 12534700 IDR; minimum projected balance before purchase: 21419907.86 IDR; uncertainty records tracked: 0.
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,full_payment selected. Selected full_payment because it is the only verified valid plan. Safe to pay now: 2560 ZAR; required buffer: 7600 ZAR; minimum projected balance before purchase: 31629.5 ZAR; uncertainty records tracked: 0.
request_91,0,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 0 EUR; required buffer: 2100 EUR; minimum projected balance before purchase: 1646.64 EUR; uncertainty records tracked: 0.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,full_payment selected. Selected full_payment because it is the only verified valid plan. Safe to pay now: 34034 ZAR; required buffer: 28100 ZAR; minimum projected balance before purchase: 64333.09 ZAR; uncertainty records tracked: 0.
request_93,1692.53,affordable_later,wait,2026-04-15:1729.2,2026-04-15,none,wait selected. Selected wait because it is the only verified valid plan. Safe to pay now: 1692.53 USD; required buffer: 1900 USD; minimum projected balance before purchase: 3592.53 USD; uncertainty records tracked: 0.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,full_payment selected. Selected full_payment because it is the only verified valid plan. Safe to pay now: 572 EUR; required buffer: 600 EUR; minimum projected balance before purchase: 2663.6 EUR; uncertainty records tracked: 0.
request_95,7426.64,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 7426.64 INR; required buffer: 145500 INR; minimum projected balance before purchase: 152926.64 INR; uncertainty records tracked: 0.
request_96,65597.76,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-15,none,installments selected. Selected installments because it is the only verified valid plan. Safe to pay now: 65597.76 INR; required buffer: 56500 INR; minimum projected balance before purchase: 122097.76 INR; uncertainty records tracked: 0.
request_97,0,not_affordable,not_recommended,none,2024-03-16,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 0 ZAR; required buffer: 29700 ZAR; minimum projected balance before purchase: 29220.26 ZAR; uncertainty records tracked: 0.
request_98,3801.16,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 3801.16 ZAR; required buffer: 30000 ZAR; minimum projected balance before purchase: 33801.16 ZAR; uncertainty records tracked: 0.
request_99,16669.7,affordable_later,wait,2026-07-16:18062,2026-07-16,none,wait selected. Selected wait because it is the only verified valid plan. Safe to pay now: 16669.7 ZAR; required buffer: 49100 ZAR; minimum projected balance before purchase: 65769.7 ZAR; uncertainty records tracked: 0.
request_100,24490.47,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,installments selected. Selected installments because it is the only verified valid plan. Safe to pay now: 24490.47 ZAR; required buffer: 32500 ZAR; minimum projected balance before purchase: 56990.47 ZAR; uncertainty records tracked: 0.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,full_payment selected. Selected full_payment because it is the only verified valid plan. Safe to pay now: 143500 INR; required buffer: 187400 INR; minimum projected balance before purchase: 353855.81 INR; uncertainty records tracked: 0.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,installments selected. Selected installments because it is the only verified valid plan. Safe to pay now: 1716 EUR; required buffer: 900 EUR; minimum projected balance before purchase: 4522.23 EUR; uncertainty records tracked: 0.
request_103,14317.49,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 14317.49 INR; required buffer: 125500 INR; minimum projected balance before purchase: 139817.49 INR; uncertainty records tracked: 0.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,full_payment selected. Selected full_payment because it is the only verified valid plan. Safe to pay now: 17204 ZAR; required buffer: 24700 ZAR; minimum projected balance before purchase: 47195.06 ZAR; uncertainty records tracked: 0.
request_105,17712.55,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 17712.55 INR; required buffer: 73900 INR; minimum projected balance before purchase: 91612.55 INR; uncertainty records tracked: 0.
request_106,302.55,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 302.55 EUR; required buffer: 1200 EUR; minimum projected balance before purchase: 1502.55 EUR; uncertainty records tracked: 0.
request_107,0,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 0 EUR; required buffer: 1600 EUR; minimum projected balance before purchase: -2863.29 EUR; uncertainty records tracked: 0.
request_108,3749,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 3749 ZAR; required buffer: 24100 ZAR; minimum projected balance before purchase: 27849 ZAR; uncertainty records tracked: 0.
request_109,548.77,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-16,none,installments selected. Selected installments because it is the only verified valid plan. Safe to pay now: 548.77 EUR; required buffer: 1700 EUR; minimum projected balance before purchase: 2248.77 EUR; uncertainty records tracked: 0.
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,installments selected. Selected installments because it is the only verified valid plan. Safe to pay now: 22352 ZAR; required buffer: 11200 ZAR; minimum projected balance before purchase: 61229.53 ZAR; uncertainty records tracked: 0.
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,full_payment selected. Selected full_payment because it is the only verified valid plan. Safe to pay now: 16625000 IDR; required buffer: 23022800 IDR; minimum projected balance before purchase: 72499839.71 IDR; uncertainty records tracked: 0.
request_112,157.89,affordable_later,wait,2024-08-14:271.7,2024-08-14,none,wait selected. Selected wait because it is the only verified valid plan. Safe to pay now: 157.89 EUR; required buffer: 500 EUR; minimum projected balance before purchase: 657.89 EUR; uncertainty records tracked: 0.
request_113,0,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 0 INR; required buffer: 82300 INR; minimum projected balance before purchase: 70595.06 INR; uncertainty records tracked: 0.
request_114,0,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 0 INR; required buffer: 113400 INR; minimum projected balance before purchase: 5907.11 INR; uncertainty records tracked: 0.
request_115,16371.71,affordable_later,wait,2024-11-14:80500,2024-11-14,none,wait selected. Selected wait because it is the only verified valid plan. Safe to pay now: 16371.71 INR; required buffer: 38800 INR; minimum projected balance before purchase: 55171.71 INR; uncertainty records tracked: 0.
request_116,16942.13,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 16942.13 INR; required buffer: 80300 INR; minimum projected balance before purchase: 97242.13 INR; uncertainty records tracked: 0.
request_117,867.82,affordable_later,wait,2026-07-16:880,2026-07-16,none,wait selected. Selected wait because it is the only verified valid plan. Safe to pay now: 867.82 EUR; required buffer: 1000 EUR; minimum projected balance before purchase: 1867.82 EUR; uncertainty records tracked: 0.
request_118,357.17,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 357.17 EUR; required buffer: 600 EUR; minimum projected balance before purchase: 957.17 EUR; uncertainty records tracked: 0.
request_119,62084.34,not_affordable,not_recommended,none,2025-07-15,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 62084.34 INR; required buffer: 151200 INR; minimum projected balance before purchase: 213284.34 INR; uncertainty records tracked: 0.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,full_payment selected. Selected full_payment because it is the only verified valid plan. Safe to pay now: 7714000 IDR; required buffer: 20050300 IDR; minimum projected balance before purchase: 28556778.48 IDR; uncertainty records tracked: 0.
request_121,577.73,affordable_later,wait,2024-03-16:633.6,2024-03-16,none,wait selected. Selected wait because it is the only verified valid plan. Safe to pay now: 577.73 USD; required buffer: 800 USD; minimum projected balance before purchase: 1377.73 USD; uncertainty records tracked: 0.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,installments selected. Selected installments because it is the only verified valid plan. Safe to pay now: 20558000 IDR; required buffer: 12588500 IDR; minimum projected balance before purchase: 56827244.99 IDR; uncertainty records tracked: 0.
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,full_payment selected. Selected full_payment because it is the only verified valid plan. Safe to pay now: 4076000 IDR; required buffer: 18091200 IDR; minimum projected balance before purchase: 58556371.73 IDR; uncertainty records tracked: 0.
request_124,1294.57,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,installments selected. Selected installments because it is the only verified valid plan. Safe to pay now: 1294.57 EUR; required buffer: 1600 EUR; minimum projected balance before purchase: 2894.57 EUR; uncertainty records tracked: 0.
request_125,4653.31,affordable_later,wait,2026-01-14:6468,2026-01-14,none,wait selected. Selected wait because it is the only verified valid plan. Safe to pay now: 4653.31 ZAR; required buffer: 11300 ZAR; minimum projected balance before purchase: 15953.31 ZAR; uncertainty records tracked: 0.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,full_payment selected. Selected full_payment because it is the only verified valid plan. Safe to pay now: 159600 INR; required buffer: 129700 INR; minimum projected balance before purchase: 334154.98 INR; uncertainty records tracked: 0.
request_127,3357.96,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 3357.96 ZAR; required buffer: 41000 ZAR; minimum projected balance before purchase: 44357.96 ZAR; uncertainty records tracked: 0.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,full_payment selected. Selected full_payment because it is the only verified valid plan. Safe to pay now: 25168 ZAR; required buffer: 42600 ZAR; minimum projected balance before purchase: 70204.35 ZAR; uncertainty records tracked: 0.
request_129,45.18,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 45.18 USD; required buffer: 800 USD; minimum projected balance before purchase: 845.18 USD; uncertainty records tracked: 0.
request_130,6.31,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 6.31 USD; required buffer: 1400 USD; minimum projected balance before purchase: 1406.31 USD; uncertainty records tracked: 0.
request_131,1069.24,not_affordable,not_recommended,none,2025-07-23,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 1069.24 USD; required buffer: 1100 USD; minimum projected balance before purchase: 2169.24 USD; uncertainty records tracked: 0.
request_132,0,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 0 USD; required buffer: 1100 USD; minimum projected balance before purchase: 2.15 USD; uncertainty records tracked: 0.
request_133,15770000,not_affordable,not_recommended,none,2024-03-07,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 15770000 IDR; required buffer: 9986200 IDR; minimum projected balance before purchase: 33354944.64 IDR; uncertainty records tracked: 0.
request_134,5919709.41,affordable_later,wait,2025-08-15:21831000,2025-08-15,none,wait selected. Selected wait because it is the only verified valid plan. Safe to pay now: 5919709.41 IDR; required buffer: 15902500 IDR; minimum projected balance before purchase: 21822209.41 IDR; uncertainty records tracked: 0.
